priority,keyword,category
10,CHRISTMAS,seasonal_christmas
11,ADVENT,seasonal_christmas
12,EASTER,seasonal_easter
20,CANDLE,home_fragrance_lighting
21,T-LIGHT,home_fragrance_lighting
22,LANTERN,home_fragrance_lighting
23,LIGHT,home_fragrance_lighting
30,BAG,bags_storage
31,BOX,bags_storage
32,TIN,bags_storage
33,JAR,bags_storage
40,MUG,kitchen_tableware
41,CUP,kitchen_tableware
42,PLATE,kitchen_tableware
43,BOWL,kitchen_tableware
44,TEA,kitchen_tableware
45,CAKE,kitchen_tableware
46,BAKING,kitchen_tableware
47,NAPKIN,kitchen_tableware
48,LUNCH,kitchen_tableware
50,CARD,stationery_gift_wrap
51,WRAP,stationery_gift_wrap
52,NOTEBOOK,stationery_gift_wrap
53,PENCIL,stationery_gift_wrap
54,STICKER,stationery_gift_wrap
55,RIBBON,stationery_gift_wrap
60,FRAME,home_decor
61,SIGN,home_decor
62,CLOCK,home_decor
63,CUSHION,home_decor
64,HEART,home_decor
65,HANGING,home_decor
66,DOORMAT,home_decor
67,MIRROR,home_decor
70,NECKLACE,jewellery_accessories
71,BRACELET,jewellery_accessories
72,EARRINGS,jewellery_accessories
73,UMBRELLA,jewellery_accessories
80,TOY,toys_kids
81,DOLL,toys_kids
82,GAME,toys_kids
83,CHILDRENS,toys_kids
84,PARTY,toys_kids
